ID,state,rhythmic
MAR01,high,T
MAR02,high,F
JUL15,high,T
JUL16,high,T
JUL17,high,T
JUL18,high,T
JUL19,high,T
JUL20,high,T
JUL21,high,T
JUL23,high,F
OCT01,high,T
OCT08,high,T
OCT09,high,T
OCT10,high,T
OCT13,high,T
OCT14,high,T
FEV01,high,F
FEV02,high,T
FEV03,high,T
FEV05,high,T
FEV06,high,T
MAR01,medium,T
MAR02,medium,T
JUL15,medium,T
JUL16,medium,F
JUL17,medium,F
JUL18,medium,T
JUL19,medium,F
JUL20,medium,T
JUL21,medium,F
JUL23,medium,F
OCT01,medium,F
OCT08,medium,T
OCT09,medium,F
OCT10,medium,T
OCT13,medium,T
OCT14,medium,F
FEV01,medium,F
FEV02,medium,F
FEV03,medium,T
FEV05,medium,T
FEV06,medium,T
MAR01,rest,T
MAR02,rest,F
JUL15,rest,T
JUL16,rest,F
JUL17,rest,T
JUL18,rest,T
JUL19,rest,T
JUL20,rest,T
JUL21,rest,F
JUL23,rest,F
OCT01,rest,T
OCT08,rest,T
OCT09,rest,T
OCT10,rest,T
OCT13,rest,T
OCT14,rest,T
FEV01,rest,F
FEV02,rest,T
FEV03,rest,T
FEV05,rest,T
FEV06,rest,T
MAR01,vedba,T
MAR02,vedba,F
JUL15,vedba,T
JUL16,vedba,F
JUL17,vedba,T
JUL18,vedba,T
JUL19,vedba,T
JUL20,vedba,T
JUL21,vedba,F
JUL23,vedba,F
OCT01,vedba,T
OCT08,vedba,T
OCT09,vedba,T
OCT10,vedba,T
OCT13,vedba,T
OCT14,vedba,T
FEV01,vedba,F
FEV02,vedba,T
FEV03,vedba,T
FEV05,vedba,T
FEV06,vedba,T
